id,label
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,0
73,0
74,0
75,1
76,1
77,0
78,1
79,0
80,0
81,1
82,0
83,1
84,1
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,0
95,1
96,0
97,0
98,1
99,0
100,1
101,0
102,1
103,0
104,0
105,1
106,1
107,0
108,1
109,1
110,1
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,1
125,0
126,1
127,0
128,0
129,0
130,0
131,1
132,0
133,0
134,1
135,1
136,0
137,0
138,1
139,1
140,0
141,1
142,0
143,1
144,1
145,0
146,1
147,0
148,0
149,1
150,0
151,0
152,1
153,0
154,1
155,0
156,1
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,0
165,1
166,1
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,0
175,1
176,1
177,0
178,1
179,0
180,1
181,0
182,1
183,1
184,1
185,0
186,1
187,1
188,1
189,0
190,1
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,0
200,1
201,1
202,1
203,1
204,1
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,1
233,0
234,0
235,0
236,0
237,1
238,0
239,1
240,0
241,0
242,1
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,0
251,0
252,0
253,1
254,1
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,0
265,1
266,0
267,0
268,0
269,0
270,0
271,1
272,0
273,0
274,0
275,0
276,0
277,1
278,1
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,1
287,0
288,0
289,0
290,1
291,0
292,0
293,0
294,1
295,0
296,0
297,0
298,0
299,1
300,0
301,0
302,0
303,0
304,0
305,0
306,1
307,1
308,0
309,1
310,0
311,0
312,0
313,1
314,0
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,0
323,0
324,1
325,1
326,1
327,0
328,0
329,0
330,1
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,0
346,1
347,1
348,0
349,1
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,0
358,0
359,1
360,1
361,1
362,1
363,1
364,0
365,1
366,1
367,1
368,1
369,0
370,1
371,0
372,0
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,0
381,0
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,0
391,1
392,0
393,1
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,1
412,1
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,1
440,0
441,0
442,1
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,1
478,0
479,1
480,0
481,1
482,0
483,0
484,0
485,1
486,1
487,0
488,0
489,1
490,1
491,0
492,0
493,1
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,1
502,1
503,1
504,0
505,0
506,1
507,0
508,1
509,0
510,1
511,0
512,1
513,1
514,1
515,0
516,0
517,0
518,0
519,1
520,1
521,1
522,0
523,1
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,0
532,0
